Date,PET,P,ET,R
1977,701.2,2367.1,606.9,1760.2
1978,652.5,2373.2,570.5,1802.7
1979,656.2,2718.3,583,2135.3
1980,663,1932.2,561.2,1371
1981,646.8,2853.1,578.7,2274.4
1982,652.4,2103.2,560.9,1542.3
1983,669.1,2500.1,587,1913.1
1984,646.3,2812.2,577.4,2234.8
1985,650.1,3101.8,586.5,2515.3
1986,645.2,2938.9,579.3,2359.6
1987,650.7,2577.7,575.1,2002.6
1988,656.1,1980.7,558.5,1422.2
1989,646.1,2524.7,570.1,1954.6
1990,657.9,3300.5,596.5,2704
1991,661.9,2218.9,572.3,1646.6
1992,638.6,2821.7,571.5,2250.2
1993,665.1,1507.2,537.8,969.4
1994,670.9,2982.3,600.8,2381.5
1995,648.8,1711.4,540,1171.4
1996,662.6,2549.9,583.5,1966.4
1997,630,2710.2,562.1,2148.1
1998,670.5,3342.7,607.5,2735.2
1999,647,1940.3,550.2,1390.1
2000,646.3,3023.1,581.9,2441.2
2001,644.9,3231.6,584.6,2647
2002,657.1,1707.4,545.4,1162
2003,652.3,1369.4,518.9,850.5
2004,628,3408.6,573.5,2835.1
2005,630.6,3913.5,582.4,3331.1
2006,656.2,2456.5,575.9,1880.6
2007,640.9,3245.2,581.6,2663.6
2008,634.7,3056.8,573.1,2483.7
2009,642.6,1915.2,545.9,1369.3
2010,630.1,2062.9,543,1519.9
2011,641.3,2070.4,551.5,1518.9
